"
TauD
","
Medtr0021s0370
"
"
MtMLO
","
Medtr3g115940
"
"
MtRFCb
","
Medtr3g118160
"
"
NA13
","
Medtr3g467150
"
"
NA14
","
Medtr4g046787
"
"
NA15
","
Medtr4g046787
"
"
NA16
","
Medtr4g046830
"
"
MtGLP1
","
Medtr4g052770
"
"
NA17
","
Medtr4g052780
"
"
NA18
","
Medtr4g066130
"
"
MtABAB14
","
Medtr4g081190
"
"
NA19
","
Medtr4g082345
"
"
NA20
","
Medtr4g094275
"
"
MtDHY1
","
Medtr4g097510
"
"
NA21
","
Medtr4g102890
"
"
MtRAD1 
","
Medtr4g104020
"
"
NA22
","
Medtr4g104060
"
"
MtHYP3
","
Medtr4g104750
"
"
NA23
","
Medtr4g126930
"
"
MtSPK; MtKIN2
","
Medtr4g129010
"
"
NA24
","
Medtr5g005950
"
"
MtHYP7
","
Medtr5g018610
"
"
MtNFP
","
Medtr5g019040
"
"
MtRFCa
","
Medtr5g020810
"
"
MtHMAD1
","
Medtr5g020960
"
"
MtIPD3
","
Medtr5g026850
"
"
MtSTR2
","
Medtr5g030910
"
"
MtDMI2
","
Medtr5g030920
"
"
MtLYK10
","
Medtr5g033490
"
"
NA25
","
Medtr5g043550
"
"
NA26
","
Medtr5g075400
"
"
MtGST1
","
Medtr5g076900
"
"
MtCYP728B29
","
Medtr5g092150
"
"
MtKIN6
","
Medtr6g007690
"
"
MtWRI5c
","
Medtr6g011490
"
"
NA27
","
Medtr6g012970
"
"
MtFLOT7;MtVPY
","
Medtr6g027840
"
"
NA28
","
Medtr6g034940
"
"
MtCBP1
","
Medtr6g043700
"
"
MtWRI5b
","
Medtr7g009410
"
"
NA29
","
Medtr7g011630
"
"
MtRAM1
","
Medtr7g027190
"
"
MtENODL41;MtPCY35
","
Medtr7g086090
"
"
MtENODL42;MtPCY33
","
Medtr7g086100
"
"
MtPCY16;MtSC15
","
Medtr7g086140
"
"
MtBCP1;MtPCY18;MtSC17
","
Medtr7g086190
"
"
MtENODL43;MtPCY20
","
Medtr7g086200
"
"
MtPCY19;MtSC18
","
Medtr7g086220
"
"
MtENODL44;MtPCY32
","
Medtr7g086230
"
"
MtENODL45;MtPCY31
","
Medtr7g086280
"
"
MtSec14p
","
Medtr7g087500
"
"
NA30
","
Medtr7g102840
"
"
NA31
","
Medtr7g102870
"
"
MtAMT2-4
","
Medtr7g115050
"
"
NA32
","
Medtr7g116350
"
"
MtKIN3
","
Medtr7g116650
"
"
MtCASTOR
","
Medtr7g117580
"
"
MtAP2d
","
Medtr8g032610
"
"
MtHYP6
","
Medtr8g040940
"
"
MtHYP5c
","
Medtr8g069400
"
"
NA33
","
Medtr8g074560
"
"
NA34
","
Medtr8g074570
"
"
NA35
","
Medtr8g074580
"
"
NA36
","
Medtr8g078300
"
"
NA37
","
Medtr8g078360
"
"
MtNPF4.14
","
Medtr8g087780
"
"
MtNPF4.13
","
Medtr8g087810
"
"
NA38
","
Medtr8g092290
"
"
MtDIP1b
","
Medtr8g092440
"
"
MtDIP1
","
Medtr8g093070
"
"
MtSTR
","
Medtr8g107450
"
"
NA39
","
Medtr8g467650
"
"
MtWRI5a
","
Medtr8g468920
"
"
LYK1 
","
Medtr5g086540+B4:B28
"
"
LYK1.2?
","
Medtr5g086330
"
"
LYK2
","
Medtr5g086310
"
"
LYK3
","
Medtr5g086130
"
"
LYK4
","
Medtr5g086120
"
"
LYK5
","
Medtr5g086090
"
"
LYK6
","
Medtr5g086040
"
"
LYK7
","
Medtr5g086030
"
"
LYK8
","
Medtr2g024290
"
"
LYK9
","
Medtr3g080050
"
"
LYK10
","
Medtr5g033490
"
"
LYK11
","
Medtr8g014500
"
"
LYM1
","
Medtr3g072410
"
"
LYM2
","
Medtr4g094730
"
"
MtLYR1
","
Medtr8g078300
"
"
NFP
","
Medtr5g019040
"
"
MtLYR8
","
Medtr5g042440
"
"
MtLYR10
","
Medtr7g029650
"
"
MtLYR9
","
Medtr4g058570
"
"
MtLYR3
","
Medtr5g019050
"
"
MtLYR2
","
Medtr1g021845
"
"
MtLYR7
","
Medtr3g080170
"
"
MtLYR4
","
Medtr5g085790
"
"
MtLYR5
","
Medtr7g079350
"
"
MtLYR6
","
Medtr7g079320
"
"
NA40
","
Medtr1g082950
"
"
NA41
","
Medtr1g094730
"
"
NA42
","
Medtr5g086050
"
"
LYK5-like1
","
Medtr5g086110
"
"
LYK5-like2
","
Medtr5g086080
"
"
PT4
","
Medtr1g028600
"
"
MtSPX
","
Medtr1g013760
"
"
MtSPX1
","
Medtr3g107393
"
"
MtSPX3
","
Medtr0262s0060
"
"
FatM
","
Medtr1g109110
"
"
MtAMT2-5
","
Medtr1g036410
"
"
MtAMT2-4
","
Medtr7g115050
"
"
MtRAM1
","
Medtr7g027190
"
"
MtRAM2
","
Medtr1g040500
"
"
CRN
","
Medtr7g020850
"
"
SUNN
","
Medtr4g070970
"
"
CLE53 *
","
Medtr8g463700
"
"
CLE33 *
","
Medtr2g078160
"
"
CLE16 *
","
Medtr5g043830
"
"
CLE45 *
","
Medtr5g056935
"
